Name;Instance count;Size (bytes)
java.lang.ThreadLocal$ThreadLocalMap;12;288
java.lang.ThreadLocal$ThreadLocalMap$Entry[ ];12;960
sun.misc.MetaIndex;12;288
scala.runtime.RichInt;12;288
byte[ ][ ];12;488
java.util.LinkedList$Node;12;288
com.jprofiler.agent.util.a.k;12;192
java.io.FileDescriptor;12;384
java.awt.AlphaComposite;12;288
sun.java2d.loops.GraphicsPrimitiveProxy;12;672
com.jprofiler.agent.probe.a.a.t;12;288
sun.java2d.loops.RenderCache$Entry;12;384
int[ ][ ];11;400
javax.management.MBeanNotificationInfo[ ];11;240
java.lang.ClassLoader$NativeLibrary;10;320
com.jprofiler.agent.probe.structures.a;10;240
sun.security.jca.ProviderConfig;10;320
com.siigna.app.model.shape.PolylineShape$$anonfun$transform$1;10;160
java.util.concurrent.locks.AbstractQueuedSynchronizer$Node;10;320
com.siigna.util.collection.AttributesLike$$anonfun$vector2D$1;10;160
java.nio.file.StandardOpenOption;10;240
java.nio.DirectByteBuffer;10;640
java.lang.reflect.Type[ ];10;208
sun.java2d.d3d.D3DMaskFill;10;480
com.siigna.app.model.shape.TextShape$$anonfun$alignment$1;10;160
javax.management.openmbean.CompositeType;9;504
long[ ][ ];9;1728
com.siigna.app.view.Graphics$$anonfun$draw$7;9;216
java.util.logging.Level;9;216
java.util.LinkedList;9;288
sun.reflect.generics.tree.FieldTypeSignature[ ];9;168
sun.awt.SunHints$Value[ ];9;432
java.util.Arrays$ArrayList;9;216
sun.awt.SunHints$Key;9;216
scala.actors.MQueue;9;288
com.siigna.app.model.shape.BasicShape[ ];9;320
sun.font.StrikeMetrics;9;504
scala.actors.Reactor$$anonfun$seq$1;9;216
scala.actors.Combinators$$anonfun$loop$1;9;216
sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl;9;288
sun.font.GlyphLayout$SDCache;9;360
sun.java2d.d3d.D3DSwToSurfaceTransform;8;384
scala.collection.immutable.Range;8;320
java.lang.annotation.ElementType;8;192
java.lang.OutOfMemoryError;8;256
scala.collection.immutable.VectorBuilder;8;384
sun.java2d.d3d.D3DSwToSurfaceBlit;8;384
java.util.jar.JarFile$JarFileEntry;8;640
com.siigna.app.view.Graphics$$anonfun$colorDraw$1;8;128
byte[ ][ ][ ];8;192
com.siigna.app.view.Graphics$$anonfun$draw$1;8;128
sun.java2d.d3d.D3DSwToSurfaceScale;8;384
com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed$$anonfun$shapes$1;8;192
sun.text.bidi.BidiBase$ImpTabPair;8;192
java.awt.geom.ArcIterator;8;704
java.awt.geom.Arc2D$Double;8;512
sun.reflect.generics.factory.CoreReflectionFactory;8;192
javax.management.openmbean.OpenMBeanParameterInfoSupport;8;448
sun.java2d.loops.RenderCache$Entry[ ];8;688
sun.java2d.loops.RenderCache;8;128
sun.misc.ProxyGenerator$PrimitiveTypeInfo;8;256
sun.java2d.d3d.D3DSwToTextureBlit;8;384
com.jprofiler.api.agent.probe.DataType;8;128
