"Name";"Instance count";"Size (bytes)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference";19;608
"scala.collection.mutable.HashMap";19;608
"java.io.ObjectStreamClass";19;1976
"java.util.TreeMap";19;912
"java.io.ObjectStreamClass$WeakClassKey";19;608
"com.sun.jmx.mbeanserver.MXBeanSupport";18;720
"sun.reflect.BootstrapConstructorAccessorImpl";18;288
"java.util.zip.ZipCoder";17;544
"sun.java2d.loops.DrawGlyphList";17;816
"scala.Enumeration$Val";17;544
"java.util.Collections$SynchronizedMap";17;544
"java.util.ArrayDeque";17;408
"sun.java2d.loops.FillRect";17;816
"java.lang.management.PlatformComponent[ ]";16;328
"sun.java2d.loops.FillSpans";16;768
"sun.java2d.loops.DrawPath";16;768
"sun.java2d.loops.FillPath";16;768
"java.io.ObjectStreamClass$ClassDataSlot";16;384
"sun.java2d.loops.DrawPolygons";16;768
"sun.java2d.loops.DrawRect";16;768
"sun.java2d.loops.DrawLine";16;768
"java.lang.Thread";15;1560
"javax.management.openmbean.ArrayType";15;840
"java.lang.management.PlatformComponent";15;720
"java.io.ObjectStreamClass$FieldReflectorKey";15;600
"java.io.ObjectStreamClass$FieldReflector";15;600
"com.jprofiler.agent.probe.structures.s";14;336
"com.jprofiler.agent.probe.structures.q";14;336
"com.jprofiler.agent.probe.structures.r";14;336
"sun.awt.CausedFocusEvent$Cause";14;336
"java.lang.ThreadLocal";14;224
"java.util.HashMap$KeySet";14;224
"javax.management.StandardMBean";14;336
"java.io.File";14;336
"javax.management.MBeanConstructorInfo[ ]";14;240
"sun.java2d.loops.TransformHelper";14;672
"com.jprofiler.agent.probe.t";14;224
"com.jprofiler.agent.probe.s";14;336
"com.jprofiler.agent.probe.r";14;1904
"javax.management.openmbean.SimpleType";14;560
"java.lang.ThreadLocal$ThreadLocalMap";13;312
"java.security.ProtectionDomain[ ]";13;368
"java.lang.ThreadLocal$ThreadLocalMap$Entry[ ]";13;1040
"java.util.jar.JarFile";13;832
"sun.java2d.loops.DrawGlyphListLCD";13;624
"java.io.ObjectStreamClass$ClassDataSlot[ ]";13;312
"com.sun.jmx.mbeanserver.PerInterface";13;520
"com.jprofiler.agent.r";13;416
"sun.misc.MetaIndex";12;288
"java.awt.AlphaComposite";12;288
"sun.java2d.loops.GraphicsPrimitiveProxy";12;672
"com.jprofiler.agent.probe.a.a.t";12;288
"sun.java2d.loops.RenderCache$Entry";12;384
"java.util.LinkedList$Node";11;264
"javax.management.MBeanNotificationInfo[ ]";11;240
"com.jprofiler.agent.probe.structures.a";10;240
"sun.security.jca.ProviderConfig";10;320
"java.lang.reflect.Type[ ]";10;208
"sun.java2d.d3d.D3DMaskFill";10;480
"javax.management.openmbean.CompositeType";9;504
"java.lang.ClassLoader$NativeLibrary";9;288
"java.util.logging.Level";9;216
"java.util.LinkedList";9;288
"sun.reflect.generics.tree.FieldTypeSignature[ ]";9;168
"sun.awt.SunHints$Value[ ]";9;432
"java.util.Arrays$ArrayList";9;216
"sun.awt.SunHints$Key";9;216
"sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl";9;288
"sun.java2d.d3d.D3DSwToSurfaceTransform";8;384
"java.lang.annotation.ElementType";8;192
"java.lang.OutOfMemoryError";8;256
"sun.java2d.d3d.D3DSwToSurfaceBlit";8;384
"java.util.jar.JarFile$JarFileEntry";8;640
"sun.java2d.d3d.D3DSwToSurfaceScale";8;384
"sun.reflect.generics.factory.CoreReflectionFactory";8;192
"javax.management.openmbean.OpenMBeanParameterInfoSupport";8;448
"sun.java2d.loops.RenderCache$Entry[ ]";8;688
"sun.java2d.loops.RenderCache";8;128
"sun.misc.ProxyGenerator$PrimitiveTypeInfo";8;256
"scala.actors.MQueue";8;256
"sun.java2d.d3d.D3DSwToTextureBlit";8;384
"java.net.SocksSocketImpl";8;896
"java.net.DualStackPlainSocketImpl";8;640
"com.jprofiler.api.agent.probe.DataType";8;128
"java.nio.DirectByteBuffer";8;512
"java.math.RoundingMode";8;192
"sun.reflect.generics.tree.FormalTypeParameter[ ]";8;144
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping";7;336
"sun.java2d.windows.GDIBlitLoops";7;448
"sun.misc.PerfCounter";7;168
"com.jprofiler.agent.n";7;112
"java.util.Collections$UnmodifiableRandomAccessList";7;168
"sun.management.counter.Units";7;168
"java.util.Properties";7;336
"java.nio.DirectLongBufferU";7;392
"sun.java2d.loops.RenderLoops";7;448
"scala.concurrent.forkjoin.ForkJoinWorkerThread";6;912
"sun.java2d.pipe.AAShapePipe";6;96
"sun.reflect.generics.tree.MethodTypeSignature";6;192
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl";6;144
"sun.reflect.generics.repository.MethodRepository";6;240
"sun.reflect.generics.tree.TypeSignature[ ]";6;96
"sun.reflect.generics.scope.MethodScope";6;144
"sun.java2d.pipe.TextRenderer";6;96
"scala.concurrent.forkjoin.ForkJoinTask[ ]";6;196704
"sun.java2d.d3d.D3DMaskBlit";6;336
"scala.concurrent.forkjoin.LinkedTransferQueue$PaddedAtomicReference";6;480
"java.lang.RuntimePermission";6;144
"java.awt.image.DirectColorModel";6;864
"java.util.zip.ZStreamRef";5;120
"java.lang.annotation.ElementType[ ]";5;168
"sun.font.FontFamily";5;200
"sun.management.MemoryPoolImpl$PoolSensor";5;200
"java.util.Stack";5;160
"java.util.Collections$SynchronizedSet";5;120
"sun.java2d.loops.DrawParallelogram";5;240
"sun.nio.fs.WindowsPathType";5;120
"sun.awt.FontDescriptor[ ][ ]";5;160
"java.net.Inet4Address";5;160
"sun.management.MemoryPoolImpl";5;280
"sun.management.MemoryPoolImpl$CollectionSensor";5;200
