"Name";"Instance count";"Size (bytes)"
"com.jprofiler.agent.probe.structures.s";14;336
"com.jprofiler.agent.probe.structures.q";14;336
"java.util.jar.JarFile";14;896
"com.jprofiler.agent.probe.structures.r";14;336
"com.siigna.util.event.EventParser$$anonfun$1";14;224
"sun.awt.CausedFocusEvent$Cause";14;336
"java.lang.ThreadLocal";14;224
"javax.management.StandardMBean";14;336
"java.io.File";14;336
"javax.management.MBeanConstructorInfo[ ]";14;240
"sun.java2d.loops.TransformHelper";14;672
"com.jprofiler.agent.probe.t";14;224
"com.jprofiler.agent.probe.s";14;336
"short[ ][ ]";14;440
"com.jprofiler.agent.probe.r";14;1904
"javax.management.openmbean.SimpleType";14;560
"java.security.ProtectionDomain[ ]";13;368
"sun.font.TrueTypeFont$DirectoryEntry";13;416
"sun.java2d.loops.DrawGlyphListLCD";13;624
"java.util.LinkedList$Node";13;312
"java.io.ObjectStreamClass$ClassDataSlot[ ]";13;312
"com.sun.jmx.mbeanserver.PerInterface";13;520
"com.jprofiler.agent.r";13;416
"sun.misc.MetaIndex";12;288
"byte[ ][ ]";12;488
"com.jprofiler.agent.util.a.k";12;192
"int[ ][ ]";12;424
"java.awt.AlphaComposite";12;288
"sun.java2d.loops.GraphicsPrimitiveProxy";12;672
"com.jprofiler.agent.probe.a.a.t";12;288
"sun.java2d.loops.RenderCache$Entry";12;384
"scala.collection.mutable.WrappedArray$ofInt";11;176
"scala.collection.parallel.immutable.ParVector$ParVectorIterator$$anonfun$psplit$1";11;264
"scala.collection.parallel.immutable.ParVector$ParVectorIterator$$anonfun$psplit$2";11;176
"scala.collection.parallel.ParSeqLike$SignalContextPassingIterator$$anonfun$psplit$1";11;176
"scala.collection.immutable.VectorIterator";11;704
"javax.management.MBeanNotificationInfo[ ]";11;240
"java.lang.ClassLoader$NativeLibrary";10;320
"com.jprofiler.agent.probe.structures.a";10;240
"sun.security.jca.ProviderConfig";10;320
"com.siigna.app.model.shape.PolylineShape$$anonfun$transform$1";10;160
"java.nio.file.StandardOpenOption";10;240
"java.nio.DirectByteBuffer";10;640
"java.lang.reflect.Type[ ]";10;208
"sun.java2d.d3d.D3DMaskFill";10;480
"com.siigna.util.collection.AttributesLike$$anonfun$int$1";10;160
"sun.java2d.d3d.D3DSurfaceData$D3DWindowSurfaceData[ ]";10;200
"javax.management.openmbean.CompositeType";9;504
"com.siigna.app.view.Graphics$$anonfun$draw$7";9;216
"java.util.logging.Level";9;216
"java.util.LinkedList";9;288
"sun.reflect.generics.tree.FieldTypeSignature[ ]";9;168
"sun.awt.SunHints$Value[ ]";9;432
"java.util.Arrays$ArrayList";9;216
"sun.awt.SunHints$Key";9;216
"com.siigna.app.model.shape.BasicShape[ ]";9;320
"sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl";9;288
"sun.java2d.d3d.D3DSwToSurfaceTransform";8;384
"scala.collection.immutable.Range";8;320
"java.lang.annotation.ElementType";8;192
"java.lang.OutOfMemoryError";8;256
"sun.java2d.d3d.D3DSwToSurfaceBlit";8;384
