"Name";"Instance count";"Size (bytes)"
"sun.net.www.protocol.jar.URLJarFile";5;400
"java.util.Collections$SynchronizedSet";5;120
"sun.java2d.loops.DrawParallelogram";5;240
"sun.nio.fs.WindowsPathType";5;120
"sun.management.MemoryPoolImpl";5;280
"java.awt.ColorPaintContext";5;120
"java.security.Permissions";5;160
"sun.java2d.pipe.AlphaPaintPipe$TileContext";5;240
"scala.collection.immutable.StreamIterator$LazyCell";5;160
"java.lang.annotation.ElementType[ ]";5;168
"sun.awt.EventQueueItem";5;120
"java.lang.management.MemoryUsage";5;240
"java.util.Stack";5;160
"sun.awt.FontDescriptor[ ][ ]";5;160
"sun.management.MemoryPoolImpl$CollectionSensor";5;200
"sun.java2d.loops.FillParallelogram";5;240
"java.util.Collections$UnmodifiableMap";5;160
"com.siigna.module.cad.create.InputTwoValues";4;448
"java.awt.AWTKeyStroke[ ]";4;80
"java.awt.Dialog$ModalityType";4;96
"java.net.InetAddress";4;128
"java.nio.HeapByteBuffer";4;192
"java.awt.Queue";4;96
"sun.misc.Cleaner";4;160
"java.util.Collections$UnmodifiableSet";4;64
"sun.net.www.protocol.jar.Handler";4;64
"java.math.MathContext";4;96
"com.siigna.util.geom.TransformationMatrix$$anonfun$concatenate$1";4;64
"scala.actors.Reactor$$anonfun$2";4;64
"com.jprofiler.agent.probe.a.a.t[ ]";4;128
"com.siigna.module.cad.create.InputTwoValues$$anonfun$1";4;64
"java.math.BigInteger[ ]";4;440
"java.awt.RenderingHints";4;64
"java.awt.Point";4;96
"sun.java2d.StateTrackable$State";4;96
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap";4;64
"com.siigna.app.view.View$$anonfun$1";4;64
"java.util.Collections$SingletonMap";4;160
"javax.management.StandardEmitterMBean";4;128
"scala.collection.immutable.MapLike$$anonfun$$plus$plus$1";4;64
